title,image-link,price,rating,reviews,availability
ANNEMARIE BÖRLIND – LL REGENERATION Cleansing Milk – Sustainably Sourced Natural 2in1 Facial Cleanser & Make-up Remover to remove Impurities on Skin – Step 1 of 5 - 5 Oz,https://m.media-amazon.com/images/I/31UgV8RWATL._SX300_SY300_QL70_ML2_.jpg,$39.99,4.6 out of 5 stars,139 ratings,In Stock
Farmacy Honey Halo Ceramide Face Moisturizer Cream - Hydrating Facial Lotion for Dry Skin (1.7 Ounce),https://m.media-amazon.com/images/I/41Nj++2b2TL._SY300_SX300_.jpg,$48.00,4.6 out of 5 stars,"2,713 ratings",In Stock
Farmacy Makeup Remover Cleansing Balm - Clearly Clean Fragrance-Free Makeup Melting Balm - Great Balm Cleanser for Sensitive Skin (50ml),https://m.media-amazon.com/images/I/31s0XqlBfwL._SX300_SY300_QL70_ML2_.jpg,$24.00,4.4 out of 5 stars,163 ratings,In Stock
POFULL Pharmacy Tech Gift Pharmacy School Pharmacy Graduation Gift Slingin Pills to Pay the Bills Cosmetic Bag (Slingin Pills bag),https://m.media-amazon.com/images/I/71rV3XuBP4L.__AC_SX300_SY300_QL70_ML2_.jpg,$14.89,4.3 out of 5 stars,5 ratings,Only 5 left in stock - order soon.
Medicine Pill Organizer Travel Airtight Pill Box for Purse Vitamin Organizer Large Compartments Portable Medication Storage Pocket Pharmacy Container with Labels Supplement Holder Pill Case Compact,https://m.media-amazon.com/images/I/81Iv3SIlkoL.__AC_SX300_SY300_QL70_ML2_.jpg,$13.99,4.6 out of 5 stars,33 ratings,In Stock
Noveread 24 Pcs Pharmacy Pens for Nurse Pharmacist Funny Drug Pens Nursing Week Pens Cute Pharmacy Technician Gifts for Pharmacist Medical Assistant School Student Hospital Doctor Office Supplies Bulk,https://m.media-amazon.com/images/I/81MIiO7Js+L._AC_SY300_SX300_.jpg,$15.99,5.0 out of 5 stars,2 ratings,In Stock
Farmacy Honey Halo Ceramide Face Moisturizer Cream - Hydrating Facial Lotion for Dry Skin (1.7 Ounce),https://m.media-amazon.com/images/I/41Nj++2b2TL._SY300_SX300_.jpg,$48.00,4.6 out of 5 stars,"2,713 ratings",In Stock
Dagacci Scrubs Medical Uniform Women and Man Scrubs Set Medical Scrubs Top and Pants,https://m.media-amazon.com/images/I/71EXBw4mtXL.__AC_SY445_SX342_QL70_ML2_.jpg,$19.99,4.0 out of 5 stars,"54,559 ratings",Not Available
YJ PREMIUMS 12PC Pharmacist Pens | Funny Pharmacy Fun Drug Pen Vaccine Pill Syringe Label for Technician Nurse Nurses Nursing Tech Coworkers Student Accessories Women Men Appreciation Week Gifts,https://m.media-amazon.com/images/I/61SkrjMJxrL.__AC_SX300_SY300_QL70_ML2_.jpg,$11.99,4.4 out of 5 stars,1 rating,In Stock
Generic WCGXKO Pharmacy Technician Survival Kit Funny Zipper Pouch Makeup Bag Gift for Pharmacy Tech Pharmacist RX Gift (Pharmacy Technician Survival),https://m.media-amazon.com/images/I/714fNoCpTLS.__AC_SX300_SY300_QL70_ML2_.jpg,$12.89,4.8 out of 5 stars,66 ratings,In Stock
